method,site,type,lat,transect,diver,life.history,species,percent.of.cover,l,w,area,pale,bleached,total.pb,percent.pb,new,trans,old,total.mort,percent.mort,disease,percentdisease
Video,1,Back Reef,3,2,4,Stress Tolerant,OANN,0.6,12.5,17.5,218.75,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,OANN,0.5,9.375,6.25,58.59375,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,OANN,0.3,8.076923077,4.038461538,32.61834319,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,MCAV,0.8,4.705882353,7.058823529,33.21799308,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Weedy,PAST,0.8,6.666666667,3.333333333,22.22222222,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Weedy,SRAD,0.9,4.21875,4.21875,17.79785156,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,NA,MCOM,0.85,15.9375,13.28125,211.6699219,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,NA,MCOM,0.65,15.34722222,6.319444444,96.98591819,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,SSID,0.8,21.42857143,30,642.8571429,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,SSID,0.6,6.428571429,6.428571429,41.32653062,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Weedy,PFUR,0.75,7.291666667,4.166666667,30.38194445,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,NA,MCOM,0.4,11.57894737,10.52631579,121.8836565,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,OANN,0.8,8.235294118,7.058823529,58.13148789,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,OANN,0.8,3.529411765,7.058823529,24.91349481,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Weedy,PAST,0.55,7.291666667,6.25,45.57291667,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Weedy,PFUR,0.5,8.333333333,5.833333333,48.61111111,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Stress Tolerant,OANN,0.8,6.666666667,5.333333333,35.55555556,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,2,4,Weedy,UAGA,0.9,4.21875,5.625,23.73046875,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,UAGA,0.7,5.833333333,4.666666667,27.22222222,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,UAGA,0.8,5.882352941,4.705882353,27.6816609,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.85,13.75,13.75,189.0625,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,NA,MCOM,0.7,12.35294118,10.29411765,127.1626298,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,PPOR,0.6,7.5,6.428571429,48.21428572,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,PAST,0.6,9.642857143,5.357142857,51.65816326,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.8,5.714285714,5.714285714,32.65306122,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.85,15.65789474,6.710526316,105.0727147,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,PAST,0.8,8.421052632,6.315789474,53.18559557,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Generalist,OFAV,0.6,6,7,42,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,PAST,0.7,8.75,10.9375,95.703125,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,PAST,0.8,6.315789474,7.368421053,46.53739613,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,UAGA,0.8,6.315789474,4.210526316,26.59279779,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,NA,MCOM,0.9,10.65789474,3.552631579,37.86357342,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Weedy,UTEN,0.85,14.16666667,12.75,180.625,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.8,26.66666667,7.777777778,207.4074074,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.8,8.75,15,131.25,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,3,4,Stress Tolerant,SSID,0.9,11.25,21.09375,237.3046875,0,0,0,0,0,0,0,2,0,0,0
